,title,url,Content
0,Former Liverpool striker Sturridge given four-month ban after breaking betting rules,https://www.bbc.co.uk/sport/football/51712017,originally given six week ban last summer four suspended fa appealed findings independent commission appeal board also doubled 30 year old fine 150 000 sturridge contract turkish side trabzonspor terminated mutual agreement earlier monday video posted youtube account sturridge said crazy days disappointing upsetting decision ended season added want say long drawn process last couple years difficult concentrate football going continue campaign professional footballers able speak families close friends freely without real risk charged feel betting companies practice process people placing bets players moving clubs stopped thanked trabzonspor said felt uncomfortable continuing receive wages club able contribute sturridge faced various charges alleging passed inside information potential transfer january 2018 statement fa said appeal board ruled commission misapplied rules relation use inside information made findings fact could sustained result board found proven two charges originally dismissed liverpool announced june 2019 sturridge scored eight times 26 appearances england would leaving club summer end contract went score seven goals 16 appearances six time turkish champions trabzonspor former manchester city chelsea forward recent england appearance came substitute world cup qualifier lithuania october 2017 sturridge suspended football football related activity 18 june commission found instructed brother leon bet possible move spanish side sevilla given inside information january 2018 transfer window sturridge said fa case overblown misconceived gave innocent explanation text messages brother submissions behalf said type personality drawn adrenaline risk wrongdoing real interest gambling
1,US Soccer says women should earn less because men have 'higher skill',https://www.bbc.co.uk/sport/football/51835288,lawyers football governing body us submitted claims legal papers part lawsuit equal pay filed 28 women national team players court trial expected start 5 may stated job male footballer national team requires higher level skill based speed strength female counterparts men national team never relevant international title women side four time world champions five olympic gold medals american women footballers also outdid men terms revenue last years emerged women team generated money ticket sales men side 2016 2018 however male athletes serving national team disproportionally paid according lawyers representing group female players claim example women earn maximum 4 950 3 858 bonus per friendly game played national team men pay topped 13 000 10 132 literally everyone world understands argument male players responsibility plain simple sexism molly levinson spokesperson players said statement also illustrates gender discrimination caused us file lawsuit begin group players took legal action 8 march 2019 seeking equal pay 66m 51 4m damages lost earnings also accused governing body us soccer institutionalised gender discrimination happened women team took part 2019 women world cup france megan rapinoe one side stars adamant group resolve accept anything less equal pay said interview abc tv channel last august show game win game lose game tie game want paid equally period women case publicly supported male players 12 february us men team issued statement criticising governing body uncertain terms yes federation continues discriminate women wages working conditions statement read kirsten schlewitz us journalist specialises women football told bbc public perception also favourable plight female players almost fans us see women team one things gone right us football said us soccer fans already little time made degrading dismissive remarks women earning keep us soccer president carlos cordeiro released open letter 7 march saying governing body made multiple attempts meet women national team cordeiro claimed us soccer offered equal pay package matches control governing body offer compensation difference prize money paid men women teams world cups responsibility fifa global governing body last men world cup champions france received 38m 29 6m winning tournament russia 2018 us women team however went home 4m 3 1m winning trophy last year
2,All elite football in England suspended until at least 3 April,https://www.bbc.co.uk/sport/football/51867989,games england premier league efl women super league women championship plus scotland wales northern ireland postponed premier league said play start 4 april subject conditions time bbc sports editor dan roan says resuming date privately deemed almost impossible fa chairman greg clarke known expressed fear friday emergency meeting season may abandoned england international friendly matches italy 27 march denmark four days later efl hopes resume play day earlier premier league 3 april said clubs also advised suspend non essential activities player appearances training ground visits fan meetings euro 2020 play offs also moved closer postponed fifa recommended impending internationals called scotland northern ireland republic scheduled play semi finals 26 march finals five days later suspension comes day widespread sporting postponements worldwide late thursday announced arsenal manager mikel arteta tested positive virus early friday chelsea striker callum hudson odoi revealed affected everton say first team player shown symptoms earlier week several clubs including arsenal chelsea leicester city bournemouth manchester city juventus real madrid revealed either playing staff self isolation premier league chief executive richard masters said unprecedented situation working closely clubs government fa efl reassure everyone health welfare players staff supporters priority premier league said aim reschedule displaced fixtures football association said parties committed time trying complete season domestic fixture programme thursday prime minister boris johnson said suspending major public events sporting fixtures considered government would measure primarily protect public services rather delay spread efl said decision taken lightly efl must prioritise health well players staff supporters also acknowledging government national efforts tackling outbreak football also suspended italy spain france netherlands portugal usa media playback supported device dan roan bbc sports editor deeply worrying times football world sport face period disruption dislocation unprecedented peacetime privately senior football figures admit resuming english league season early april initial suspension reviewed almost impossible hope next week decision taken uefa postpone euro 2020 year thereby freeing space calendar reschedule outstanding matches complete domestic league seasons across continent stage problem outbreak expected peak may june within game fear suspension keeps extended season abandoned declared void would obviously nightmare scenario fans liverpool leeds united stand brink long awaited glory would also severe financial ramifications clubs players staff broadcasters along wider sporting industry amid threat legal action demands refunds season ticket holders clubs scrambling check insurance policies commercial contracts crisis one saw coming one leaves gaping hole country cultural fabric tense troubling time many people could welcome distraction football brings many
3,"'Don't underestimate virus', says Wolves chairman Shi",https://www.bbc.co.uk/sport/football/51891304,shi said contact friends family colleagues china since pandemic began wuhan said afforded acute awareness virus threat impact appeal supporters follow lead stay safe possible doubt testing time shi said shi also said wolves shut molineux stadium well club shop ticket office wolves foundation club official charity club made move announced friday premier league suspended 3 april 132 500 people diagnosed coronavirus 123 countries according world health organization says europe epicentre virus originated china please underestimate threat virus around employ best practice limit spread including good hygiene proper social distancing key shi said note supporters write note time great adversity football country family honoured call home population entire world share added staff sent home continue paid duration club closure period uncertainty please stay safe take risks added look look get
4,Italian FA calls for Euro 2020 postponement,https://www.bbc.co.uk/sport/football/51901183,federation president gabriele gravina says idea put uefa emergency meeting tuesday serie suspended last tuesday italy european country worst affected virus propose uefa postpone european championship gravina said speaking television channel sportmediaset italian added try get end championship serie fairer correct many investments sacrifices clubs uefa invited representatives 55 member associations tuesday video conference meeting euro 2020 due take place 12 june 12 july venues across europe boards european club association european leagues representative world players union fifpro also invited discussions cover domestic european competitions including possible postponement euro 2020 one year italian football federation previously said serie season may completed offered alternatives including play offs champion 2019 20 declaring current standings final gravina hopes league could finish 30 june one month later scheduled admitted could extended another month suggested players train moment league resume beginning may would leave question training moment said let leave boys home recover physical mental energy sunday italy reported 368 coronavirus deaths new one day record country media playback supported device la liga president javier tebas said convinced spanish top flight season finish league suspended thursday real madrid squad went quarantine five valencia players staff tested positive coronavirus spain second worst hit country europe italy set declare national lockdown monday convinced going end season working leagues match dates tebas told cadena cope contacts italy germany approach see happens tuesday euro 2020 decide news see finish championship euro going serious problems must good health first thing course competitions suspended everything reviewed income much lower team budgets compromised competition convinced end
5,Record number of fans turning to Football Manager after halt to season,https://www.bbc.co.uk/sport/football/51904874,one moment sunday football management simulation played online almost 90 000 users around world record number streams according director miles jacobson thank choosing work keep entertained time self isolation many countries around world said jacobson twitter meanwhile premier league side watford simulated scheduled fixture leicester city league two outfit leyton orient asked fans vote team selection tactics virtual reality clash bradford city lost 1 0 many people reached laptops tablets smart phones footballing fix real game hold went small small village malaysia plane landed gave passport officer shocked really tonton zola moukoko asked one playing derby turn century social media infancy name tonton zola moukoko adorned championship manager fans forums bandied around know mates like trophy cult hero skilful number 10 words would today compare lionel messi yet completely vanished radar 19th birthday championship manager began life almost three decades ago became football manager database profiling 700 000 individuals 250 plus pieces information touted future stars usually fulfil potential real life well computer screen however moukoko teenager derby county academy would usually sign likes barcelona real madrid virtual world end gracing nou camp bernabeu real life went wrong management simulation realistic reliable become top research resource used premier league clubs including everton manchester city born kinshasa congo moukoko lost parents age 10 moved sweden live older brother fedo scandinavia talent began emerge moukoko progress stockholm based djurgardens caught interest italian sides ac milan empoli bologna 15 year old opted derby performances youth reserve teams earned place game database attributes future star came attention devoted players game moukoko even know existed strange moukoko tells bbc sport played rushden diamonds lot people coming around asking autograph really know going many people one friends ian evatt said know one biggest players computer game unbelievable still people calling australia france place sometimes wish best want send shirt teenager stint spotlight real life least short lived death moukoko older brother meant football slipped back priorities even kicked ball derby first team august 2002 contract terminated mutual consent two years game moukoko unable secure deal back sweden top flight playing lower leagues either side stint finland real life good player added moukoko computer game things turned way spooky really moukoko would argue game profile accurate reflection real life skills kind similar playing midfield number 10 passing dribbling setting things adds would compare player today maybe messi enjoyed problem one biggest talents world time derby things happened around changed lot changed football career really enjoy football found difficult sleep long time brother died football right thing happy way things family time wish things turn way derby depth game database result scouting network built past 28 years feeds information back game makers sports interactive team researches 2 200 clubs 116 divisions 51 countries scout every club premier league national league north south 2 000 clubs lower levels covered lesser degree director miles jacobson says product become encyclopaedia football seeing young players impress game become good real life makes feel believable striker cherno samba another like moukoko turned global superstar game earlier days reality career started millwall youth set took plymouth wrexham scandinavia lower leagues know players like cherno samba became legends good game end making players data errors jacobson explains bbc sport lot checks balances used quite minute detail even though really popular among fanbase things need make sure happen jacobson however say story moukoko story incredibly sad highly thought sports interactive offices tonton zola moukoko meeting room mental side game maybe something modelling well still modelling well ability certainly come long way game adds jacobson admits ex derby forward always one favourite bargain signings football manager database comprehensive use transcends gaming something first came light sports interactive signed deal prozone allow professional clubs access longer exclusive prozone jacobson says company regular contact dozens clubs facilitate data different ways said years ago need stop thinking games company think football company explains game scouts come providing data players 18 23 level working good players going become future clubs utilise full complete database adds watford fan many using actually build house database starting point others give us call particular player agent recommended see worth going chile watch one sought pieces information player previous injuries key clubs carrying medicals new signings injury histories something difficult clubs get hold says jacobson either refer database directly call us say guy injury period know injury even find information player ever injured journey game first released 1992 born everton supporting brothers paul ov collyer looking entertain school hobby two slightly bored brothers living shropshire countryside liked football discovering home computers appealing feeding goat ov collyer tells bbc sport fact people used started game ultimately still serious resource fantastic says lot quality dedication research team assembled years never underestimate knowledgeable many football fans devoutly follow team tapping expertise multiple contributors per team really huge surprise end result valuable resource professional clubs take database seriously jacobson recalls professional players sending mobile phone footage racing one another bid boost speed attributes 1 500 footballers help us test game provide feedback ranging global superstars non league players says jacobson lot players say need stat raised stat raised turn round go prove sometimes completely justified explains one player recently made debut small nation emailed game make sure recorded clubs turning away agent requests trying secure move strange quite deep gone leagues talking quite small game become great resource teams even away main database adds jacobson one sign player directly back good game one go send scout somewhere far flung youtube video get youtube video player looking great get another tool based people ground watching player week week quite powerful former england boss sam allardyce recently said games like fifa football manager teaching grandson manage first manager manage professional level learned trade fifa football manager asked jacobson says already former tottenham boss andre villas boas admitted using game reference tool jose mourinho chief scout chelsea remarkable case vugar huseynzade 22 named general manager azerbaijani outfit fc baku back gaming success look successful managers players grown playing game says jacobson andre villas boas probably first person talk openly sam absolutely right say going happen often version article first published november 2017
6,Liverpool forward Mane 'never knew' title winners got medals,https://www.bbc.co.uk/sport/football/51664722,liverpool forward sadio mane says never knew winners premier league also received individual medals reds 22 points clear top table closing first title 30 years mane says interested personal accolades heard yesterday win league medal mane told bbc world service never knew happened care medals mane finished runner last season despite reds far clear could win title march 27 year old says side domestic dominance term easy easy oh wish said know premier league best league world every single game give 100 want win always try think working well keep working hard get want target beginning win league win great club fans mane signed jurgen klopp summer 2016 joined southampton forward says would honoured german receives statue anfield sure think one great manager well club players said specific way things gives players responsibility pitch really important time friendly players one big strengths 2019 african footballer year born small village senegal says upbringing difficult never stopped dreaming becoming professional athlete see came small village far capital dakar really tough part life dream keep going every single day said self belief never give work hard think key putting head become something despite one best players world mane says mother uncle hate football always thought waste time never wanted play football go school something else successful proved wrong added since becoming professional mane provided money hospitals native senegal wish take credit charity want speak kind thing think people need said following exploits merseyside says everybody senegal liverpool fan public proud achievements two years ago case manchester united barcelona real madrid fans liverpool everywhere said liverpool play like national team playing win trophy massive asked whether treated like living god return country said yes sure try proud happy see achieving level
7,Liverpool 'have most valuable squad' in Europe,https://www.bbc.co.uk/sport/football/51909519,aggregated value 1 4bn euros 1 27bn reds top list ahead fellow premier league side manchester city 1 24bn second chelsea fifth manchester united tottenham top 10 total value 33 7m bundesliga side paderborn bottom table liverpool runaway leaders premier league need two victories remaining nine games claim first top flight title 30 years champions league last season added uefa super cup fifa club world cup term frank lampard chelsea surprisingly sit fifth table squad value 917m cies say strong increase thanks outbreak many young talents following transfer ban imposed fifa cies use number variables including age player performances economic value club inflation work values players paris st germain world cup winning forward kylian mbappe 21 highest transfer value 227m
8,"Dietmar Hopp: Bundesliga protests focus on Hoffenheim owner, but is it all about him?",https://www.bbc.co.uk/sport/football/51800444,thiago also munich red joined long two opposing sides casually passing ball back forth first glance looked like 13 minute training session front 30 000 spectators bundesliga game first 77 minutes bayern dominance clear 6 0 lead something happened unprecedented long history german football started banners away end housing bayern supporters one read du hurensohn son whore letters h coloured blue quite clear aimed hoffenheim main financial backer dietmar hopp 79 year old watching vip stand bewildered look face bayern chief executive karl heinz rummenigge ostentatiously put arm around shoulder comfort referee stopped game instructions insults displayed banners voiced crowd bayern manager hansi flick sporting director hasan salihamidzic sprinted away supporters shaking heads waving hands holding six fingers show score eyes fans putting result jeopardy supporters might replied concerns worth three points bayern players followed vainly attempting speak ultras first rows referee pointed tunnel send players pitch visiting captain manuel neuer spoke hoffenheim players manager discuss idea strike remaining 13 minutes players returned pitch hoffenheim supporters booed decision wanted game cancelled rummenigge hopp arrived touchline holding hands act solidarity game teams applauded crowd apart bayern section let hopp stand middle rummenigge spoke ugly face football bayern munich tabloid media headlines read day shame german football aktuelles sportstudio tv programme like match day highlights match shown silence commentary action german football since occupied aftermath match divided game sympathise anger supporters much power support football authorities believe guilty hypocrisy many people asking german football heading understand origins conflict look back consider closely hoffenheim divisive owner man centre complex set circumstances building past decade least hopp made fortune founded company sap 1970s became multi billionaire supported projects protecting environment donated hundreds millions towards education children projects medical research feature supporters including rummenigge keen highlight even critics denounce hopp critics see private benevolence irrelevant football interested role investor patron tsg hoffenheim since late 1980s hopp put large amount money hometown club sum investment believed 350m euros 301m help money skills manager ralf rangnick village club climbed sixth tier top within 10 years securing bundesliga promotion 2008 sitting top table halfway maiden season team representing village 3 000 inhabitants made champions league group stages first time last season story owner pushing childhood club top might sound like fairytale presented way german media back 2008 many supporters especially many ultra groups felt angry exception made accommodate hopp big spending germany 50 1 rule commercial interests individuals supposed gain full control team club members supposed least half shares 50 deciding votes plus one football governing body germany dfb already softened rule move known lex leverkusen bayer leverkusen strictly adhere 50 1 links bayer pharmaceutical company founded factory workers built position long history success pitch vfl wolfsburg similar background old factory team volkswagen lex leverkusen allows scope investors funding parent club continuously substantially 20 years bypass 50 1 regulations case hopp gave right take majority ownership hoffenheim officially sticking rules idea behind 50 1 avoid clubs strong financial dependence investor protect consequences dependence falling many people eyes undermined hoffenheim hopp club anywhere near top flight without support beginning ultra groups considered hopp symbol commercialisation game believe financially powerful privileged club stealing place another restricted means several officials top flight sides mainz dortmund shared similar opinions interviews stadiums criticism turned vitriolic fans years chanted insulting slogans games protests went still dortmund ultras displayed banner hopp crosshairs message hasta la vista 2008 three years later hoffenheim employee admitted used sound machine drown dortmund away fans chants stadium incident led song pun du sohn einer hupe son horn hopp apologised letter added ones insult 90 minutes sensitive words sparked anger situation worsened hopp instructed club staff put microphones front away fans record insults 2019 took dortmund cologne supporters court fined behaviour towards meanwhile dfb declared dortmund fans probation next away game hoffenheim dortmund fans knew coming match december 2019 sang never hoffenheim displayed insulting banners dortmund fans banned next two matches hoffenheim represented return collective punishment something dfb president reinhard grindel promised abolish 2017 new factor fans opposition hopp starting point new wave criticism focused even ultras borussia monchengladbach tense relationship dortmund ultras showed support rivals february year raised banner dortmund ultras hopp crosshairs days 19 february gunman killed nine people german city hanau gladbach officials criticised ultras apologised hopp fallout commentators officials went far placing banner level murders trivialisation shocking events hanau set tone follow next week led strong decisions dfb murder racism insults discrimination themes mixed together public debate word spread fan groups would protest hopp next weekend dfb decided apply three step protocol originally set uefa combat racial abuse discrimination step one would see game halted announcement made step two would take teams pitch second announcement step three would see match abandoned led events saw end hoffenheim match bayern fixture interrupted cologne berlin dortmund elsewhere lower divisions matches stopped referees noticed banners stands main problem little time referee carefully read often put context actually written banners game third division meppen duisburg one series banners read dietmar enough cash protection interest people whose words meaningless lock someone even duisburg press co ordinator said clue game interrupted statement banner covered freedom speech new questions emerging point referee implement three step plan could expected track action stands simultaneously officiating busy football match questions sent football association clubs second division without satisfactory answer inconsistency dfb came foreground schalke played bayern three days strike hoffenheim bayern fans insulting hopp led interruption nothing happened bayern goalkeeper manuel neuer insulted phrase schalke supporters rb leipzig timo werner similarly abused nearly every stadium country perceived dive various fan groups suffer many infamous chants including one particularly insulting song delivered hoffenheim supporters fans freiburg infuriated supporters germany lack action racist insults game schalke hertha berlin weeks escalation surrounding hopp hertha defender jordan torunarigha racially abused stands without interruption announcement stadium midfielder mesut ozil target racist comments far right politicians world cup 2018 dfb admitted taking long defend cases led suspicion german football protect multi millionaires minorities players migrant background atmosphere double standards fostered long term co innovation partnership hopp company sap dfb sap also sponsor future home bayern munich basketball team last friday network fans mostly ultra groups published open letter read actual shame lies behaviour associations first german fa main aim punishments censorship claimed said tolerate happened accept consequences continue protest tone confrontational points addressed made bayern ultras long time fought discrimination homophobia racism took stand club sponsorship agreement qatar airways nation human rights record also ones kept alive memory club jewish president deported nazis 1938 hoffenheim game reported tv broadcasters bayern would take season tickets away ultras group behaviour reports confirmed yet sunday home match augsburg ultras showed usual presented banners read ugly face club people taking blood money qatar media playback supported device banner displayed previous weekend nearly every german stadium fan groups protested hopp dfb bayern freiburg fans wrote owners protected wooed ordinary people bullied football 2020 strikes abandonments protests supporters viewed creative appropriate public eye dfb announced plans work supporter organisations implementation three step plan stressed appreciation creative critical fan culture words seemed attempt ease situation protests surely continue relationship clubs fan groups face significant tests following weeks one possible conclusion draw alternative dialogue dortmund sporting director michael zorc said real ending sight nonetheless interesting note three perhaps unexpected developments evolving story first started crude distasteful banner depicting man crosshairs end opened public debate collective punishment tackle discrimination corruption secondly hoffenheim bayern game several officials tv experts demanded fan organisations thrown stadiums week stadiums indeed empty sanctions boycotts coronavirus outbreak rheinderby cologne monchengladbach revierderby schalke dortmund played front empty seats atmosphere give impression ultra groups keep saying legendary celtic manager jock stein put way football without fans nothing thirdly tuesday left wing newspaper tageszeitung printed picture empty stands headline coronavirus son whore ron ulrich writer german football magazine 11 freunde
9,"Serie A season may not finish, says Italian federation",https://www.bbc.co.uk/sport/football/51824172,figc statement confirmed serie would stop 3 april following government decree issued monday figc president gabriele gravina also put forward alternative options season concluded include staging play offs champion 2019 20 declaring current standings final play offs would take place determine champions european qualification three clubs relegated serie b title winner decided current standings juventus would italian champions ninth straight season gone back lazio 2 0 win third placed inter milan sunday five games took place sunday sassuolo 3 0 brescia monday matches taking place behind closed doors stands 12 full rounds matches still played plus another four fixtures postponed second leg coppa italia semi finals alternatives due discussed meeting federal council 23 march season resume also proposed tuesday meeting clubs take advantage available dates 31 may last season serie champion 2004 05 juventus stripped title following calciopoli match fixing scandal title winner previously decided play 1964 bologna beat inter milan two sides finished level points tuesday ac milan announced players directors would donate day wages lombardy region emergency services came day club pledged 250 000 cause
